id,name,category,description,price,stock,image,Whatsapp buy link
1,0  EIGHT 2,trouser,workouts casual athleisure travel and lounging,6000,10000,images/08 - 2.jpeg,
2,0 EIGHT 1,trouser,workouts casual athleisure travel and lounging,6000,10000,images/08 1.jpeg,
3,0 EIGHT,trouser,workouts casual athleisure travel and lounging,6000,10000,images/08.jpeg,
4,76 LEAGUE,trouser,workouts casual athleisure travel and lounging,6000,10000,images/76 LEAGUE.jpeg,
5,2009,trouser,workouts casual athleisure travel and lounging,6000,10000,images/2009.jpeg,
6,ADDIDAS,trouser,workouts casual athleisure travel and lounging,6000,10000,images/ADDIDAS.jpeg,
7,AMAPIANO,trouser,workouts casual athleisure travel and lounging,5000,10000,images/AMAPIANO 1.jpeg,
8,AMAPIANO 2,trouser,workouts casual athleisure travel and lounging,5000,10000,https://github.com/mystore19/somtojoggers/blob/6b38fd75af22d27b3b4509b07d3c97aabd691116/images/AMAPIANO%202.jpeg,
9,AMAPIANO 3,trouser,workouts casual athleisure travel and lounging,5000,10000,images/AMAPIANO 3.jpeg,
10,FLOWER,trouser,workouts casual athleisure travel and lounging,5000,10000,images/FLOWER.jpeg,
11,JOGGERS 1,trouser,workouts casual athleisure travel and lounging,6000,10000,images/JOGGERS 1.jpeg,
12,SIDE POCKE WITH TIE RIBBON,trouser,workouts casual athleisure travel and lounging,6000,10000,images/SIDE POCKET WITH TIE RIBBON.jpeg,
13,UNITED STATE,trouser,workouts casual athleisure travel and lounging,6000,10000,https://via.placeholder.com/150,
14,ADDIDAS 3 BIAZ,trouser,workouts casual athleisure travel and lounging,7500,10000,images/ADDIDAS 3 BIAZ.jpeg,
15,NEW GUIDE,trouser,workouts casual athleisure travel and lounging,6000,10000,images/NEW GUIDE.jpeg,

